               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092278,            0.041709,             0.05936,             0.25465,              0.4328,             0.18098,             0.12198,            0.063142,             0.02279,            0.048375,            0.070411,           0.0032877,           0.0032877
                   1,            0.061216,            0.037778,            0.044016,             0.27421,             0.34068,             0.22046,             0.15353,            0.064371,            0.019308,            0.037036,            0.039755,           0.0059655,           0.0059655
                   2,            0.056511,            0.032677,            0.038883,             0.34578,             0.46602,             0.32731,              0.1836,            0.057493,            0.018582,            0.033312,             0.00844,           0.0079834,           0.0079834
                   3,            0.050565,            0.031685,            0.034291,              0.3517,             0.66784,             0.46653,             0.32262,            0.049963,            0.017955,            0.030097,             0.00703,             0.00703,             0.00703
                   4,            0.047105,            0.029491,            0.031202,             0.52365,             0.58817,             0.57152,             0.42582,            0.043765,            0.018127,            0.030418,             0.00703,             0.00703,             0.00703
                   5,            0.042919,            0.028048,            0.029913,             0.56049,             0.65223,             0.60091,             0.45419,            0.048075,            0.017477,            0.025994,             0.00604,             0.00604,             0.00604
                   6,            0.041358,            0.029029,            0.027607,             0.68102,             0.65435,             0.67695,             0.53152,            0.039913,            0.017109,            0.027109,             0.00505,             0.00505,             0.00505
                   7,            0.038448,            0.028357,            0.025214,             0.66822,             0.68384,             0.68213,             0.53143,            0.040231,            0.017231,            0.024917,             0.00406,             0.00406,             0.00406
                   8,            0.036553,            0.027859,             0.02378,             0.68097,             0.68691,             0.69273,              0.5596,            0.039792,            0.017105,            0.024514,             0.00307,             0.00307,             0.00307
                   9,            0.035316,            0.027798,            0.022837,              0.6824,             0.67016,             0.69062,             0.55884,              0.0392,            0.016968,            0.022743,             0.00208,             0.00208,             0.00208
